userId,movieId,rating,timestamp
76,51662,3,1439167904
68,42018,0.5,1304977981
18,55290,4.5,1482355905
68,58293,4,1269122411
70,3468,5,1355198425
91,2236,0.5,1112717161
81,380,2,845299424
17,2329,4.5,1305696670
9,6044,2,1044657285
68,42738,3,1269122762
69,4370,2,1021645473
89,95633,4.5,1520409578
41,60950,3,1458939033
95,2023,4,1043339302
44,65,3,869252497
19,1688,3,965709144
51,33615,3.5,1230930714
57,2376,3,969754753
45,1688,4,950726248
51,7,4,1230932700
86,457,4,1344082980
95,4270,3,1043339248
19,1747,2,965706092
74,30707,4,1207502554
42,2805,4,996262478
89,4973,2,1520408268
16,50,4,1377476781
42,1673,5,996218171
18,122904,3.5,1460575806
76,48877,4.5,1439167047
68,3752,2,1158534447
91,3996,4.5,1112712954
78,2991,3.5,1252573406
24,96079,3.5,1458941632
64,7090,4.5,1161521346
82,2948,3,1084465162
28,2952,2.5,1242106555
71,17,1,864737933
58,596,4,847719271
27,2012,4,965150068
100,1028,4.5,1100185898
91,4386,4,1112717019
84,302,3,858771796
85,1140,5,889468344
75,924,3.5,1158967613
43,609,5,848994863
52,55363,3,1468052080
18,1059,3.5,1455735783
18,51540,4.5,1455821297
18,84392,4.5,1459889871
91,4846,3.5,1112716970
19,3705,2,965710092
84,910,3,858773054
66,1136,5,1093747499
18,8957,3.5,1455050859
21,5218,4,1407617661
79,1196,5,975281343
68,107406,1.5,1527554136
14,25,4,835441394
19,2465,1,965705405
27,1960,3,962686509
62,111759,4,1521489609
64,1967,4.5,1161566031
68,5151,3.5,1269123299
21,32296,3.5,1500701989
19,1240,4,965703605
84,1096,5,858772479
43,317,4,848993903
45,1005,2,951170710
50,63312,2,1514891165
89,182297,4,1520408949
42,3082,5,996214009
79,246,5,975281661
1,70,3,964982400
51,781,4,1230931517
62,96829,4,1523788902
91,2997,3.5,1112711084
45,104,5,950724870
33,2490,3,939654747
21,135536,3.5,1500701506
6,485,3,845553794
51,7147,4,1230931793
28,52281,2.5,1234338628
68,1717,2.5,1158535506
41,2268,2.5,1459367652
73,8636,4,1464275204
89,3549,3.5,1520408756
38,296,3,841341163
68,62293,3,1267237858
18,5995,4.5,1455735416
68,3617,3.5,1158534662
6,377,5,845553317
98,82461,1.5,1532457548
65,4993,3.5,1494767062
47,1203,2.5,1496205502
6,435,3,845553489
16,1201,3,1377477410
28,4011,3.5,1234338576
28,4776,2,1242290187
28,4344,1,1234516387
23,1617,3.5,1107341560
6,360,3,845555094
17,1358,3,1322629202
